Issue Name Contains - SemRush,Issue Type - SemRush,Issue category - SemRush,Issue description - SemRush,How to fix - SemRush,Issue Name - ScreamingFrog,Issue Type - ScreamingFrog,Issue Priority - ScreamingFrog,Description ScreamingFrog,How To Fix - ScreamingFrog,sf_config_file,sf_export_tabs
NA,NA,NA,NA,NA,Canonicals: Multiple Conflicting,Issue,High,"Pages with multiple canonicals set for a URL that have different URLs specified (via either multiple link elements, HTTP header, or both combined).

This can lead to unpredictability, as there should only be a single canonical URL set by a single implementation (link element, or HTTP header) for a page.","Specify a single canonical URL using a single approach (link element, or HTTP header) for every page to avoid any potential mix ups.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Non-Indexable Canonical,Issue,High,"Pages with a canonical URL that is non-indexable. This will include canonicals which are blocked by robots.txt, no response, redirect (3XX), client error (4XX), server error (5XX), are 'noindex' or 'canonicalised' themselves. This means the search engines are being instructed to consolidate indexing and link signals to a non-indexable page, which often leads to them ignoring the canonical, but may also lead to unpredictability in indexing and ranking. Export pages, their canonicals and status codes via 'Reports > Canonicals > Non-Indexable Canonicals'.","Ensure canonical URLs are to accurate indexable pages to avoid them being ignored by search engines, and any potential indexing or ranking unpredictability.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Invalid Attribute In Annotation,Issue,High,"Pages with a rel=”canonical” annotation that includes an alternate version using an hreflang, lang, media, or type attribute.

Adding certain attributes to the link element changes the meaning of the annotation to denote a different device or language version. These annotations are ignored and not used for canonicalisation by Google.","Use separate appropriate link annotations to specify alternate versions of a page.

Google supports explicit rel canonical link annotations and they should not contain hreflang, lang, media, and type attributes.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Contains Fragment URL,Issue,High,"Pages with a rel=""canonical"" that includes a fragment URL in the href attribute. Google generally doesn't support fragment URLs. These annotations are ignored and not used for canonicalisation by Google.","Remove fragment URLs from canonical annotations and ensure they are to accurate indexable pages to avoid them being ignored by search engines, and any potential indexing or ranking unpredictability.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Outside <head>,Issue,High,"Pages with a canonical link element that is outside of the <head> element in the HTML.

The canonical link element should be within the <head> element, or search engines will ignore it.",Ensure canonical link elements are in the <head> element of a page’s HTML to be considered by search engines.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Canonicalised,Warnings,High,"Pages that have a canonical to a different URL. The URL is 'canonicalised' to another location. This means the search engines are being instructed to not index the page, and the indexing and linking properties should be consolidated to the URL in the canonical.","These URLs should be reviewed carefully to ensure the indexing and link signals are being consolidated to the correct URL. In a perfect world, a website wouldn't need to canonicalise any URLs as only canonical versions would be linked to internally on a website, but often they are required due to various circumstances outside of control, and to prevent duplicate content. Update internal links to canonical versions of URLs where possible.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Missing,Warnings,Medium,"Pages that have no canonical URL present either as a link element, or via HTTP header. If a page doesn't indicate a canonical URL, Google will identify what they think is the best version or URL. This can lead to ranking unpredictability when there are multiple versions discovered, and hence generally all URLs should specify a canonical version",Specify a canonical URL for every page to avoid any potential ranking unpredictability if multiple versions of the same page are discovered on different URLs.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Unlinked,Warnings,Medium,"URLs that are only discoverable via rel=”canonical” and are not linked to via hyperlinks on the website.

This might be a sign of a problem with internal linking, or the URLs contained in the canonical.","Review the URLs contained in the rel=”canonical” and ensure they are linked to across the website where appropriate.

Canonical versions of URLs should be linked to, rather than non-canonical URLs. Incorrect canonicals should be updated to accurate canonical versions.",default_config.seospiderconfig,Internal:All
Multiple canonical URLs,Error,"Indexability, Canonicalization","Multiple rel=”canonical” tags with different URLs specified for the same page confuse search engines and make it almost impossible for them to identify which URL is the actual canonical page. As a result, search engines will likely ignore all the canonical elements or pick the wrong one. That’s why it is recommended that you specify no more than one rel=”canonical” for a page.",Remove all canonical URLs except the one that you’d like to serve as the actual canonical page.,Canonicals: Multiple,Warnings,Low,"Pages with multiple canonicals set for a URL (either multiple link elements, HTTP header, or both combined).

This can lead to unpredictability, as there should only be a single canonical URL set by a single implementation (link element, or HTTP header) for a page and might lead to mix ups.","Specify a single canonical URL using a single approach (link element, or HTTP header) for every page to avoid any potential mix ups.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Canonicals: Canonical Is Relative,Warnings,Low,"Pages that have a relative rather than absolute rel=”canonical” link tag.

While the <link> tag, like many HTML tags, accepts both relative and absolute URLs, it’s easy to make subtle mistakes with relative paths that could cause indexing related issues.",Google recommend using absolute paths rather than relative paths for the rel=”canonical” link tag.,default_config.seospiderconfig,Internal:All
Broken canonical URLs,Error,"HTTP Status, Indexability, Canonicalization","By setting a rel=""canonical"" element on your page, you can inform search engines of which version of a page you want to show up in search results. When using canonical tags, it is important to make sure that the URL you include in your rel=""canonical"" element leads to a page that actually exists. Canonical links that lead to non-existent webpages complicate the process of crawling and indexing your content and, as a result, decrease crawling efficiency and lead to unnecessary crawl budget waste.","Review all broken canonical links. If a canonical URL applies to a non-existent webpage, remove it or replace it with another resourc",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Neither canonical URL nor 301 redirect from HTTP homepage,Error,"Duplicates, Indexability, Canonicalization","If you're running both HTTP and HTTPS versions of your homepage, it is very important to make sure that their coexistence doesn't impede your SEO. Search engines are not able to figure out which page to index and which one to prioritize in search results. As a result, you may experience a lot of problems, including pages competing with each other, traffic loss and poor placement in search results. To avoid these issues, you must instruct search engines to only index the HTTPS version.","Do either of the following:
- Redirect your HTTP page to the HTTPS version via a 301 redirect
- Mark up your HTTPS version as the preferred one by adding a rel=""canonical"" to your HTTP pages",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Missing h1,Warnings,"Meta tags, Indexability","While less important than <title> tags, h1 headings still help define your page’s topic for search engines and users. If an <h1> tag is empty or missing, search engines may place your page lower than they would otherwise. Besides, a lack of an <h1> tag breaks your page’s heading hierarchy, which is not SEO friendly.","Provide a concise, relevant h1 heading for each of your page.",H1: Missing,Issue,Medium,"Pages which have a missing <h1>, the content is empty or has a whitespace. The <h1> should describe the main title and purpose of the page and are considered to be one of the stronger on-page ranking signals.","Ensure important pages have concise, descriptive and unique headings to help users, and enable search engines to score and rank the page for relevant search queries.",default_config.seospiderconfig,Internal:All
Multiple h1 tags,Notices,"Meta tags, Indexability","Although multiple <h1> tags are allowed in HTML5, we still do not recommend that you use more than one <h1> tag per page. Including multiple <h1> tags may confuse users.",Use multiple <h2>-<h6> tags instead of an <h1>.,H1: Multiple,Warnings,Medium,"Pages which have multiple <h1>s. While this is not strictly an issue because HTML5 standards allow multiple <h1>s on a page, there are some problems with this modern approach in terms of usability. It's advised to use heading rank (h1-h6) to convey document structure. The classic HTML4 standard defines there should only be a single <h1> per page, and this is still generally recommended for users and SEO.","Consider updating the HTML to include a single <h1> on each page, and utilising the full heading rank between (h2 - h6) for additional headings.",default_config.seospiderconfig,Internal:All
